Stock Code,Issuer,Sector,HSI/HKQAA Ratings,MSCI ESG Rating,S&P ESG Rating
538,Ajisen (China) Holdings Ltd.,Consumer Discretionary - Travel &amp; Leisure,23,,23
546,Fufeng Group Ltd.,Consumer Staples - Food &amp; Beverages,A-,,29
547,Digital Domain Holdings Ltd.,Consumer Discretionary - Media &amp; Entertainment,26,,26
548,Shenzhen Expressway Corporation Ltd. - H Shares,Industrials - Industrial Transportation,BBB+,,27
551,Yue Yuen Industrial (Holdings) Ltd.,Consumer Discretionary - Textiles &amp; Clothing,BBB+,BBB,45
552,China Communications Services Corporation Ltd. - H Shares,Information Technology - IT Hardware,A,BB,35
553,Nanjing Panda Electronics Co. Ltd. - H Shares,Information Technology - Software &amp; Services,24,,24
558,L.K. Technology Holdings Ltd.,Industrials - Industrial Engineering,BBB-,B,36
563,Shanghai Industrial Urban Development Group Ltd.,Properties &amp; Construction - Properties,28,,28
564,ZCZL Industrial Technology Group Co. Ltd. - H Shares,Consumer Discretionary - Automobiles,BBB-,,27
568,Shandong Molong Petroleum Machinery Co. Ltd. - H Shares,Energy - Oil &amp; Gas,25,,25
570,China Traditional Chinese Medicine Holdings Co. Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,A-,BB,25
576,Zhejiang Expressway Co. Ltd. - H Shares,Industrials - Industrial Transportation,BBB+,BBB,32
579,"Beijing Jingneng Clean Energy Co., Ltd. - H Shares",Utilities - Utilities,A,A,40
581,China Oriental Group Co. Ltd.,Materials - Diversified Metals &amp; Minerals,A-,,27
586,China Conch Venture Holdings Ltd.,Industrials - Industrial Engineering,BBB,AAA,37
588,Beijing North Star Co. Ltd. - H Shares,Properties &amp; Construction - Properties,21,,21
590,Luk Fook Holdings (International) Ltd.,Consumer Discretionary - Specialty Retail,A-,B,26
596,Inspur Digital Enterprise Technology Ltd.,Information Technology - Software &amp; Services,BB,BB,34
598,Sinotrans Ltd. - H Shares,Industrials - Industrial Transportation,BBB-,,26
603,China Oil And Gas Group Ltd.,Utilities - Utilities,34,,34
604,Shenzhen Investment Ltd.,Properties &amp; Construction - Properties,A-,AAA,30
607,Fullshare Holdings Ltd.,Industrials - Industrial Engineering,28,,28
631,Sany Heavy Equipment International Holdings Co. Ltd.,Industrials - Industrial Engineering,A-,BBB,31
636,KLN Logistics Group Ltd.,Industrials - Industrial Transportation,A+,AAA,38
638,Fibocom Wireless Inc. - H Shares,Industrials - Industrial Engineering,32,,32
639,Shougang Fushan Resources Group Ltd.,Energy - Coal,BBB,B,25
656,Fosun International Ltd.,Conglomerates - Conglomerates,AA-,AAA,73
658,"China High Speed Transmission Equipment Group Co., Ltd.",Industrials - Industrial Engineering,38,,38
659,CTF Services Ltd.,Conglomerates - Conglomerates,AA+,AA,50
666,"REPT BATTERO Energy Co., Ltd. - H Shares",Industrials - Industrial Engineering,BBB,,34
667,China East Education Holdings Ltd.,Consumer Discretionary - Support Services,BBB+,BB,27
